role,category,skills
Data Scientist,Data & AI,"Python, SQL, Machine Learning, Statistics, Data Analysis, Pandas, NumPy, Data Visualization"
Machine Learning Engineer,Data & AI,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, MLOps, Docker, Cloud"
Data Analyst,Data & AI,"SQL, Excel, Data Visualization, Python, Statistics, Power BI, Tableau, Data Analysis"
Data Engineer,Data & AI,"Python, SQL, ETL, Spark, Airflow, Cloud, Data Warehousing, Kafka"
AI Research Scientist,Data & AI,"Python, Deep Learning, Machine Learning, Research, PyTorch, Mathematics, NLP, Computer Vision"
DevOps Engineer,Cloud & Infrastructure,"AWS, Docker, Kubernetes, CI/CD, Automation, Linux, Terraform, Scripting"
Cloud Architect,Cloud & Infrastructure,"AWS, Azure, Cloud, System Design, Networking, Security, Terraform, Automation"
Site Reliability Engineer,Cloud & Infrastructure,"Linux, Automation, Monitoring, Kubernetes, Docker, Scripting, Cloud, CI/CD"
System Administrator,Cloud & Infrastructure,"Linux, Networking, Windows Server, Scripting, Security, Automation, Cloud"
Backend Developer,Software Development,"Java, Python, SQL, APIs, System Design, Spring Boot, Databases, Git"
Frontend Developer,Software Development,"JavaScript, React, HTML, CSS, UI Design, Web Design, Git, TypeScript"
Full Stack Developer,Software Development,"JavaScript, React, Node.js, SQL, APIs, Git, HTML, CSS, Python"
Mobile App Developer,Software Development,"Java, Kotlin, Swift, Flutter, Mobile Development, APIs, Git, UI Design"
Software Architect,Software Development,"System Design, Java, Python, Microservices, APIs, Cloud, Databases, Git"
Game Developer,Software Development,"C++, Unity, C#, Game Design, 3D Modeling, Graphics Programming, Git"
Cybersecurity Analyst,Security,"Security, Networking, Linux, Penetration Testing, Risk Assessment, Cryptography, Scripting"
Ethical Hacker,Security,"Penetration Testing, Networking, Security, Linux, Scripting, Cryptography, Malware Analysis"
Blockchain Developer,Emerging Tech,"Solidity, Blockchain, Cryptography, Smart Contracts, JavaScript, Python, Web3"
Product Manager,Management,"Product Strategy, Communication, Data Analysis, Agile, Roadmapping, Stakeholder Management"
QA / Test Engineer,Software Development,"Testing, Automation, Selenium, Python, Java, Git, Quality Assurance, CI/CD"
Database Administrator,Data & AI,"SQL, Databases, Data Warehousing, Backup Recovery, Security, Linux, Performance Tuning"
UI/UX Designer,Design,"UI Design, Figma, Web Design, User Research, Prototyping, Wireframing, Communication"
